Region,count,normalized,Parent structure,Mid-level group,source_sheet,8,allen_id,allen_acronym,allen_name,allen_parent,allen_major_division,allen_cortical_class,is_cortical,is_subcortical,thalamic_group,thalamic_subdivision,allen_path
Taenia tecta,5,0.084774499830451,Cortex,Olfactory / Piriform cortex,brain1,,589,TT,Taenia tecta,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Taenia tecta""]"
Anteroventral nucleus of thalamus,4,0.0678195998643608,Thalamus,Intralaminar thalamus,brain1,,255,AV,Anteroventral nucleus of thalamus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Anteroventral nucleus of thalamus""]"
Ectorhinal area/Layer 2/3,4,0.0678195998643608,Cortex,Olfactory / Piriform cortex,brain1,,427,ECT2/3,Ectorhinal area/Layer 2/3,Ectorhinal area,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Ectorhinal area"", ""Ectorhinal area/Layer 2/3""]"
Lateral habenula,4,0.0678195998643608,Midbrain,Habenula,brain1,,186,LH,Lateral habenula,Epithalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Epithalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Epithalamus"", ""Lateral habenula""]"
Major island of Calleja,4,0.0678195998643608,Striatum,Ventral striatum,brain1,,489,islm,Major island of Calleja,Olfactory tubercle,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum ventral region"", ""Olfactory tubercle"", ""Major island of Calleja""]"
Orbital area,4,0.0678195998643608,Cortex,Prefrontal / Insular cortex,brain1,,714,ORB,Orbital area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Orbital area""]"
Suprageniculate nucleus,4,0.0678195998643608,Thalamus,Intralaminar thalamus,brain1,,325,SGN,Suprageniculate nucleus,Lateral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Lateral group of the dorsal thalamus"", ""Suprageniculate nucleus""]"
Anterior hypothalamic nucleus,3,0.0508646998982706,Hypothalamus,Lateral hypothalamus,brain1,,88,AHN,Anterior hypothalamic nucleus,Hypothalamic medial zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic medial zone"", ""Anterior hypothalamic nucleus""]"
Lateral amygdalar nucleus,3,0.0508646998982706,Amygdala,Basolateral complex,brain1,,131,LA,Lateral amygdalar nucleus,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Lateral amygdalar nucleus""]"
Nucleus of the lateral olfactory tract,3,0.0508646998982706,Unknown,Unknown,brain1,,619,NLOT,Nucleus of the lateral olfactory tract,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Nucleus of the lateral olfactory tract""]"
Ventral medial nucleus of the thalamus,3,0.0508646998982706,Thalamus,Ventral thalamus,brain1,,685,VM,Ventral medial nucleus of the thalamus,Ventral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral medial nucleus of the thalamus""]"
Anterior pretectal nucleus,2,0.0339097999321804,Midbrain,Colliculi,brain1,,215,APN,Anterior pretectal nucleus,Pretectal region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Pretectal region"", ""Anterior pretectal nucleus""]"
Dorsomedial nucleus of the hypothalamus,2,0.0339097999321804,Hypothalamus,Tuberal region,brain1,,830,DMH,Dorsomedial nucleus of the hypothalamus,Periventricular region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Dorsomedial nucleus of the hypothalamus""]"
Islands of Calleja,2,0.0339097999321804,Striatum,Ventral striatum,brain1,,481,isl,Islands of Calleja,Olfactory tubercle,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum ventral region"", ""Olfactory tubercle"", ""Islands of Calleja""]"
Mediodorsal nucleus of the thalamus,2,0.0339097999321804,Thalamus,Medial thalamus,brain1,,362,MD,Mediodorsal nucleus of thalamus,Medial group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Medial group of the dorsal thalamus"", ""Mediodorsal nucleus of thalamus""]"
Rhomboid nucleus,2,0.0339097999321804,Thalamus,Medial thalamus,brain1,,189,RH,Rhomboid nucleus,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Intralaminar nuclei of the dorsal thalamus"", ""Rhomboid nucleus""]"
Ventromedial hypothalamic nucleus,2,0.0339097999321804,Hypothalamus,Tuberal region,brain1,,693,VMH,Ventromedial hypothalamic nucleus,Hypothalamic medial zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic medial zone"", ""Ventromedial hypothalamic nucleus""]"
Anterior amygdalar area,1,0.0169548999660902,Amygdala,Central complex,brain1,,23,AAA,Anterior amygdalar area,Striatum-like amygdalar nuclei,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum-like amygdalar nuclei"", ""Anterior amygdalar area""]"
Anteroventral preoptic nucleus,1,0.0169548999660902,Hypothalamus,Preoptic region,brain1,,263,AVP,Anteroventral preoptic nucleus,Periventricular region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Anteroventral preoptic nucleus""]"
Ectorhinal area/Layer 6a,1,0.0169548999660902,Cortex,Olfactory / Piriform cortex,brain1,,977,ECT6a,Ectorhinal area/Layer 6a,Ectorhinal area,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Ectorhinal area"", ""Ectorhinal area/Layer 6a""]"
Ectorhinal area/Layer 6b,1,0.0169548999660902,Cortex,Olfactory / Piriform cortex,brain1,,1045,ECT6b,Ectorhinal area/Layer 6b,Ectorhinal area,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Ectorhinal area"", ""Ectorhinal area/Layer 6b""]"
Fasciola cinerea,1,0.0169548999660902,Cortex,Entorhinal / Parahippocampal,brain1,,982,FC,Fasciola cinerea,Hippocampal region,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Fasciola cinerea""]"
Fundus of striatum,1,0.0169548999660902,Striatum,Ventral striatum,brain1,,998,FS,Fundus of striatum,Striatum ventral region,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum ventral region"", ""Fundus of striatum""]"
Interanteromedial nucleus of the thalamus,1,0.0169548999660902,Thalamus,Medial thalamus,brain1,,1120,IAM,Interanteromedial nucleus of the thalamus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Interanteromedial nucleus of the thalamus""]"
Intermediodorsal nucleus of the thalamus,1,0.0169548999660902,Thalamus,Medial thalamus,brain1,,59,IMD,Intermediodorsal nucleus of the thalamus,Medial group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Medial group of the dorsal thalamus"", ""Intermediodorsal nucleus of the thalamus""]"
Lateral dorsal nucleus of thalamus,1,0.0169548999660902,Thalamus,Lateral thalamus,brain1,,155,LD,Lateral dorsal nucleus of thalamus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Lateral dorsal nucleus of thalamus""]"
Magnocellular nucleus,1,0.0169548999660902,Hypothalamus,Preoptic region,brain1,,298,MA,Magnocellular nucleus,"Pallidum, ventral region",Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, ventral region"", ""Magnocellular nucleus""]"
Paraventricular hypothalamic nucleus,1,0.0169548999660902,Hypothalamus,Tuberal region,brain1,,38,PVH,Paraventricular hypothalamic nucleus,Periventricular zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular zone"", ""Paraventricular hypothalamic nucleus""]"
Periventricular hypothalamic nucleus,1,0.0169548999660902,Hypothalamus,Tuberal region,brain1,,118,PVi,"Periventricular hypothalamic nucleus, intermediate part",Periventricular zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular zone"", ""Periventricular hypothalamic nucleus, intermediate part""]"
Subiculum,1,0.0169548999660902,Cortex,Entorhinal / Parahippocampal,brain1,,502,SUB,Subiculum,Retrohippocampal region,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Retrohippocampal region"", ""Subiculum""]"
Supramammillary nucleus,1,0.0169548999660902,Hypothalamus,Mammillary region,brain1,,525,SUM,Supramammillary nucleus,Mammillary body,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic medial zone"", ""Mammillary body"", ""Supramammillary nucleus""]"
Supraoptic nucleus,1,0.0169548999660902,Hypothalamus,Lateral hypothalamus,brain1,,390,SO,Supraoptic nucleus,Periventricular zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular zone"", ""Supraoptic nucleus""]"
Ventral part of the lateral geniculate complex,1,0.0169548999660902,Thalamus,Geniculate complex,brain1,,178,LGv,Ventral part of the lateral geniculate complex,"Geniculate group, ventral thalamus",Brain stem,,False,True,"Thalamus, polymodal association cortex related","Geniculate group, ventral thalamus","[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Geniculate group, ventral thalamus"", ""Ventral part of the lateral geniculate complex""]"
Ventral premammillary nucleus,1,0.0169548999660902,Hypothalamus,Mammillary region,brain1,,1004,PMv,Ventral premammillary nucleus,Hypothalamic medial zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic medial zone"", ""Ventral premammillary nucleus""]"
Primary somatosensory area,504,30.089552238806,Cortex,Somatosensory cortex,brain2,,322,SSp,Primary somatosensory area,Somatosensory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatosensory areas"", ""Primary somatosensory area""]"
Primary motor area,147,8.77611940298507,Cortex,Motor cortex,brain2,,985,MOp,Primary motor area,Somatomotor areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatomotor areas"", ""Primary motor area""]"
Supplemental somatosensory area,101,6.02985074626866,Cortex,Somatosensory cortex,brain2,,378,SSs,Supplemental somatosensory area,Somatosensory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatosensory areas"", ""Supplemental somatosensory area""]"
Secondary motor area,79,4.71641791044776,Cortex,Motor cortex,brain2,,993,MOs,Secondary motor area,Somatomotor areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatomotor areas"", ""Secondary motor area""]"
Agranular insular area,65,3.88059701492537,Cortex,Prefrontal / Insular cortex,brain2,,95,AI,Agranular insular area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Agranular insular area""]"
Piriform area,60,3.58208955223881,Cortex,Olfactory / Piriform cortex,brain2,,961,PIR,Piriform area,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Piriform area""]"
Caudoputamen,59,3.52238805970149,Striatum,Dorsal striatum,brain2,,672,CP,Caudoputamen,Striatum dorsal region,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum dorsal region"", ""Caudoputamen""]"
Field CA1,57,3.40298507462687,Hippocampus,CA fields,brain2,,382,CA1,Field CA1,Ammon's horn,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Ammon's horn"", ""Field CA1""]"
Anterior olfactory nucleus,39,2.32835820895522,Unknown,Unknown,brain2,,159,AON,Anterior olfactory nucleus,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Anterior olfactory nucleus""]"
Posterior parietal association areas,38,2.26865671641791,Cortex,Visual cortex,brain2,,22,PTLp,Posterior parietal association areas,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Posterior parietal association areas""]"
Retrosplenial area,35,2.08955223880597,Cortex,Visual cortex,brain2,,254,RSP,Retrosplenial area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Retrosplenial area""]"
Orbital area,33,1.97014925373134,Cortex,Prefrontal / Insular cortex,brain2,,714,ORB,Orbital area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Orbital area""]"
Anterior cingulate area,31,1.85074626865672,Cortex,Prefrontal / Insular cortex,brain2,,31,ACA,Anterior cingulate area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Anterior cingulate area""]"
Dentate gyrus,22,1.3134328358209,Hippocampus,Dentate gyrus,brain2,,726,DG,Dentate gyrus,Hippocampal region,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Dentate gyrus""]"
Gustatory areas,20,1.19402985074627,Unknown,Unknown,brain2,,1057,GU,Gustatory areas,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Gustatory areas""]"
